branch_id,branch_name,branch_address,branch_tel
0000,headquarters,Tokyo,03XXX
0001,Hokkaido,Hokkaido,XXX
0002,Aomori,Aomori,XXX
0003,Iwate,Iwate,XXX
0004,Miyagi,Miyagi,XXX
0005,Akita,Akita,XXX
0006,Yamagata,Yamagata,XXX
0007,Fukushima,Fukushima,XXX
0008,Ibaraki,Ibaraki,XXX
0009,Tochigi,Tochigi,XXX
0010,Gunma,Gunma,XXX
0011,Saitama,Saitama,XXX
0012,Chiba,Chiba,XXX
0013,Tokyo,Tokyo,XXX
0014,Kanagawa,Kanagawa,XXX
0015,Niigata,Niigata,XXX
0016,Toyama,Toyama,XXX
0017,Ishikawa,Ishikawa,XXX
0018,Fukui,Fukui,XXX
0019,Yamanashi,Yamanashi,XXX
0020,Nagano,Nagano,XXX
0021,Gifu,Gifu,XXX
0022,Shizuoka,Shizuoka,XXX
0023,Aichi-ken,Aichi-ken,XXX
0024,Mie,Mie,XXX
0025,Shiga,Shiga,XXX
0026,Kyoto,Kyoto,XXX
0027,Osaka,Osaka,XXX
0028,Hy?go,Hy?go,XXX
0029,Nara,Nara,XXX
0030,Wakayama,Wakayama,XXX
0031,Tottori,Tottori,XXX
0032,Shimane,Shimane,XXX
0033,Okayama,Okayama,XXX
0034,Hiroshima,Hiroshima,XXX
0035,Yamaguchi,Yamaguchi,XXX
0036,Tokushima,Tokushima,XXX
0037,Kagawa,Kagawa,XXX
0038,Ehime,Ehime,XXX
0039,Kochi,Kochi,XXX
0040,Fukuoka,Fukuoka,XXX
0041,Saga,Saga,XXX
0042,Nagasaki,Nagasaki,XXX
0043,Kumamoto,Kumamoto,XXX
0044,Oita,Oita,XXX
0045,Miyazaki,Miyazaki,XXX
0046,Kagoshima,Kagoshima,XXX
0047,Okinawa,Okinawa,XXX
